Time,Value,Value Attributes
24-Feb-2024,18:29:54.25,85.15
24-Feb-2024,17:29:19.4375,85.02
24-Feb-2024,14:36:29.90625,84.89
24-Feb-2024,11:18:35.34375,85.39
24-Feb-2024,09:13:22.28125,85.96
24-Feb-2024,05:10:45.6875,86.27
24-Feb-2024,03:25:35.21875,86.09
24-Feb-2024,02:07:59.71875,85.76
24-Feb-2024,00:24:33.34375,85.00
23-Feb-2024,23:07:37.4375,85.05
23-Feb-2024,22:46:53.125,85.00
23-Feb-2024,20:53:15.59375,85.16
23-Feb-2024,16:16:45.0625,85.52
23-Feb-2024,13:38:59.8125,85.76
23-Feb-2024,10:23:37.375,86.13
23-Feb-2024,07:56:56.59375,86.02
23-Feb-2024,06:25:41,85.98
23-Feb-2024,05:56:12.6875,85.86
23-Feb-2024,04:50:02.03125,85.66
23-Feb-2024,03:01:23.78125,85.44
22-Feb-2024,23:56:58.375,84.16
22-Feb-2024,19:23:17.53125,84.39
22-Feb-2024,15:24:25.1875,85.01
22-Feb-2024,09:45:49.375,85.52
22-Feb-2024,09:45:45.375,85.88
22-Feb-2024,09:00:03.84375,86.10
22-Feb-2024,08:59:20.84375,84.52
22-Feb-2024,08:57:14.78125,84.12
22-Feb-2024,08:52:03.71875,84.10
22-Feb-2024,07:26:19.59375,83.98
22-Feb-2024,06:42:28.03125,83.98
22-Feb-2024,04:32:47.28125,83.71
22-Feb-2024,02:49:42,83.53
22-Feb-2024,00:46:38.46875,82.83
21-Feb-2024,22:37:19.78125,82.75
21-Feb-2024,22:31:43.75,82.67
21-Feb-2024,21:50:50.75,82.77
21-Feb-2024,20:36:58.0625,82.74
21-Feb-2024,20:12:06.875,82.91
21-Feb-2024,18:42:56.75,83.01
21-Feb-2024,18:35:30.71875,83.07
21-Feb-2024,18:05:40.28125,83.02
21-Feb-2024,16:59:33.09375,83.28
21-Feb-2024,16:13:16.75,83.21
21-Feb-2024,15:13:35.15625,83.29
21-Feb-2024,10:45:41.21875,83.90
21-Feb-2024,07:45:11.8125,84.14
21-Feb-2024,07:36:05.125,84.23
21-Feb-2024,07:35:38.125,85.02
21-Feb-2024,07:32:37.09375,85.36
21-Feb-2024,07:32:01.09375,86.57
21-Feb-2024,03:33:10.8125,86.35
21-Feb-2024,03:32:59.8125,86.26
21-Feb-2024,02:48:04.5,86.28
20-Feb-2024,23:53:14.78125,85.31
20-Feb-2024,21:09:55.09375,85.54
20-Feb-2024,16:10:33.4375,86.14
20-Feb-2024,09:16:26.65625,87.12
20-Feb-2024,04:54:14.90625,86.99
19-Feb-2024,23:52:55.84375,85.66
19-Feb-2024,19:32:50.46875,85.93
19-Feb-2024,11:34:07.8125,86.80
19-Feb-2024,07:00:23.53125,87.27
18-Feb-2024,23:44:42.46875,85.92
18-Feb-2024,15:46:03.71875,86.63
18-Feb-2024,10:10:49.1875,87.43
18-Feb-2024,09:02:00.875,87.14
18-Feb-2024,09:01:49.875,86.62
18-Feb-2024,07:44:40.34375,86.25
18-Feb-2024,03:43:52.6875,85.59
18-Feb-2024,02:51:37.6875,85.43
18-Feb-2024,01:44:36.375,85.25
18-Feb-2024,01:24:38.125,85.05
18-Feb-2024,01:08:10.96875,84.89
18-Feb-2024,00:38:44.25,84.59
18-Feb-2024,00:38:28.25,83.98
18-Feb-2024,00:18:41.875,83.90
18-Feb-2024,00:03:20.53125,83.94
17-Feb-2024,23:25:40.4375,83.93
17-Feb-2024,22:59:31.96875,83.99
17-Feb-2024,22:37:44.65625,84.05
17-Feb-2024,22:19:39.34375,83.90
17-Feb-2024,22:04:43.125,83.90
17-Feb-2024,21:43:39.71875,83.91
17-Feb-2024,21:23:42.125,83.98
17-Feb-2024,20:45:39.65625,84.13
