Name	\\HST1\T1.TTWS1FI
Data Type	Float 32
Number of Values	16734
Time	Value	Value Attributes
22-Mar-2024 04:23:17.84375	170
22-Mar-2024 04:23:07.84375	172
22-Mar-2024 04:22:57.84375	173
22-Mar-2024 04:22:52.84375	174
22-Mar-2024 04:22:49.84375	175
22-Mar-2024 04:22:45.84375	176
22-Mar-2024 04:22:43.84375	176
22-Mar-2024 04:22:37.84375	177
22-Mar-2024 04:22:36.84375	178
22-Mar-2024 04:22:32.84375	179
22-Mar-2024 04:22:29.84375	180
22-Mar-2024 04:22:26.84375	181
22-Mar-2024 04:22:22.84375	183
22-Mar-2024 04:22:21.84375	183
22-Mar-2024 04:22:18.84375	184
22-Mar-2024 04:22:17.84375	185
22-Mar-2024 04:22:15.84375	186
22-Mar-2024 04:22:14.84375	186
22-Mar-2024 04:22:12.84375	187
22-Mar-2024 04:22:11.84375	188
22-Mar-2024 04:22:06.84375	189
22-Mar-2024 04:22:03.84375	191
22-Mar-2024 04:22:02.84375	191
22-Mar-2024 04:21:59.8125	193
22-Mar-2024 04:21:58.78125	194
22-Mar-2024 04:21:54.78125	195
22-Mar-2024 04:21:47.78125	195
22-Mar-2024 04:21:46.78125	235
22-Mar-2024 04:21:15.78125	236
22-Mar-2024 04:21:01.78125	237
22-Mar-2024 04:20:50.78125	237
22-Mar-2024 04:20:14.75	240
22-Mar-2024 04:13:44.59375	241
22-Mar-2024 04:09:51.5	241
22-Mar-2024 04:09:37.5	241
22-Mar-2024 04:09:10.5	241
22-Mar-2024 04:08:05.5	241
22-Mar-2024 04:04:20.46875	242
22-Mar-2024 04:02:13.375	244
22-Mar-2024 04:01:04.3125	245
22-Mar-2024 03:59:59.3125	245
22-Mar-2024 03:58:43.3125	246
22-Mar-2024 03:58:14.25	247
22-Mar-2024 03:58:00.21875	247
22-Mar-2024 03:57:25.1875	247
22-Mar-2024 03:56:39.1875	249
22-Mar-2024 03:55:20.09375	250
22-Mar-2024 03:54:59.09375	251
22-Mar-2024 03:54:32.09375	251
22-Mar-2024 03:54:17.09375	252
22-Mar-2024 03:53:53.09375	252
22-Mar-2024 03:52:56.09375	255
22-Mar-2024 03:52:30.0625	257
22-Mar-2024 03:52:15.0625	259
22-Mar-2024 03:52:03.0625	260
22-Mar-2024 03:51:53.0625	261
22-Mar-2024 03:51:43.0625	262
22-Mar-2024 03:51:33.0625	263
22-Mar-2024 03:51:18.0625	265
22-Mar-2024 03:51:11.0625	266
22-Mar-2024 03:51:01.0625	267
22-Mar-2024 03:50:42.0625	269
22-Mar-2024 03:50:34.0625	270
22-Mar-2024 03:50:21.03125	270
22-Mar-2024 03:40:27.75	270
22-Mar-2024 03:35:36.5625	269
22-Mar-2024 03:29:37.375	269
22-Mar-2024 03:26:00.3125	269
22-Mar-2024 03:23:34.1875	268
22-Mar-2024 03:18:48	268
22-Mar-2024 03:10:50.625	267
22-Mar-2024 03:07:47.5	267
22-Mar-2024 02:59:36.21875	266
22-Mar-2024 02:53:40.9375	266
22-Mar-2024 02:47:41.8125	266
22-Mar-2024 02:44:03.6875	266
22-Mar-2024 02:39:49.625	266
22-Mar-2024 02:35:56.5	265
22-Mar-2024 02:24:01.03125	265
22-Mar-2024 02:14:58.6875	264
22-Mar-2024 02:11:05.6875	264
22-Mar-2024 02:03:38.46875	263
22-Mar-2024 02:00:29.28125	263
22-Mar-2024 01:49:01.90625	262
22-Mar-2024 01:40:00.53125	261
22-Mar-2024 01:34:49.34375	260
22-Mar-2024 01:27:28.21875	259
22-Mar-2024 01:22:06.0625	258
22-Mar-2024 01:09:42.75	258
22-Mar-2024 01:08:04.71875	258
22-Mar-2024 01:06:12.6875	258
22-Mar-2024 00:57:13.40625	258
22-Mar-2024 00:53:33.21875	257
22-Mar-2024 00:45:17.84375	256
22-Mar-2024 00:34:07.5625	256
22-Mar-2024 00:30:00.4375	256
22-Mar-2024 00:17:56.21875	255
22-Mar-2024 00:14:23.125	255
22-Mar-2024 00:12:31.0625	255
22-Mar-2024 00:08:56.90625	255
22-Mar-2024 00:01:15.65625	256
21-Mar-2024 23:55:25.59375	256
21-Mar-2024 23:49:28.4375	257
21-Mar-2024 23:36:54.09375	257
21-Mar-2024 23:31:23.84375	257
21-Mar-2024 23:25:01.59375	257
21-Mar-2024 23:20:56.5625	257
21-Mar-2024 23:15:36.46875	257
21-Mar-2024 23:10:14.375	257
21-Mar-2024 22:53:45.0625	258
21-Mar-2024 22:44:42.875	258
21-Mar-2024 22:39:34.8125	258
21-Mar-2024 22:27:23.4375	259
21-Mar-2024 22:20:22.21875	259
21-Mar-2024 22:11:54.96875	258
21-Mar-2024 22:04:24.65625	257
21-Mar-2024 21:58:38.46875	257
21-Mar-2024 21:50:54.25	257
21-Mar-2024 21:46:19.125	257
21-Mar-2024 21:41:53.09375	257
21-Mar-2024 21:39:58.0625	256
21-Mar-2024 21:36:37.9375	256
21-Mar-2024 21:32:31.75	257
21-Mar-2024 21:26:44.59375	258
21-Mar-2024 21:22:04.5	258
21-Mar-2024 21:19:05.40625	258
21-Mar-2024 21:16:09.375	259
21-Mar-2024 21:13:33.3125	258
21-Mar-2024 21:10:43.3125	259
21-Mar-2024 21:06:20.3125	259
21-Mar-2024 21:01:59.25	258
21-Mar-2024 20:54:08.21875	258
21-Mar-2024 20:49:56.03125	259
21-Mar-2024 20:46:13.96875	259
21-Mar-2024 20:38:34.84375	259
21-Mar-2024 20:27:27.65625	259
21-Mar-2024 20:20:55.5	259
21-Mar-2024 20:15:18.40625	260
21-Mar-2024 20:08:40.25	260
21-Mar-2024 20:03:09.09375	260
21-Mar-2024 19:59:25.0625	260
21-Mar-2024 19:55:42.9375	260
21-Mar-2024 19:50:14.90625	260
21-Mar-2024 19:43:50.84375	260
21-Mar-2024 19:37:42.71875	260
21-Mar-2024 19:32:30.625	260
21-Mar-2024 19:27:55.5	260
