Name	\\HST1\T1.A26BJ1B
Data Type	Float 32
Number of Values	52842
Time	Value	Value Attributes
7-Sep-2023 22:43:16	35
7-Sep-2023 22:42:41.9375	35
7-Sep-2023 22:42:30.9375	35
7-Sep-2023 22:42:29.9375	35
7-Sep-2023 22:40:41.75	35
7-Sep-2023 22:40:39.75	35
7-Sep-2023 22:39:31.6875	35
7-Sep-2023 22:39:22.6875	35
7-Sep-2023 22:37:52.5	35
7-Sep-2023 22:37:50.5	35
7-Sep-2023 19:28:53.8125	35
7-Sep-2023 15:01:50.5625	35
7-Sep-2023 14:31:18.34375	35
7-Sep-2023 14:31:17.34375	35
7-Sep-2023 14:19:09.03125	35
7-Sep-2023 14:19:07	35
7-Sep-2023 14:18:00.8125	35
7-Sep-2023 14:14:29.40625	35
7-Sep-2023 14:14:28.40625	35
7-Sep-2023 14:12:11.125	35
7-Sep-2023 14:12:03.125	35
7-Sep-2023 14:06:35.4375	35
7-Sep-2023 14:06:31.40625	35
7-Sep-2023 14:05:49.34375	35
7-Sep-2023 14:05:42.3125	35
7-Sep-2023 14:03:54.125	35
7-Sep-2023 14:02:16.90625	35
7-Sep-2023 14:02:08.875	35
7-Sep-2023 14:01:13.84375	35
7-Sep-2023 14:01:12.84375	35
7-Sep-2023 13:52:10.90625	35
7-Sep-2023 13:50:48.625	35
7-Sep-2023 13:50:46.625	35
7-Sep-2023 13:50:45.59375	35
7-Sep-2023 13:46:37.15625	35
7-Sep-2023 13:46:33.125	35
7-Sep-2023 13:46:06.09375	35
7-Sep-2023 13:42:11.78125	35
7-Sep-2023 13:42:08.78125	35
7-Sep-2023 13:38:56.5	35
7-Sep-2023 13:32:47.5625	35
7-Sep-2023 13:32:44.5625	35
7-Sep-2023 13:32:02.53125	35
7-Sep-2023 13:31:54.46875	35
7-Sep-2023 13:31:53.46875	35
7-Sep-2023 13:31:43.46875	35
7-Sep-2023 13:31:21.40625	35
7-Sep-2023 13:31:08.40625	35
7-Sep-2023 13:31:07.40625	35
7-Sep-2023 13:23:09.625	35
7-Sep-2023 13:23:07.625	35
7-Sep-2023 13:21:56.4375	35
7-Sep-2023 13:21:54.4375	35
7-Sep-2023 12:54:22.6875	35
7-Sep-2023 12:54:19.6875	35
7-Sep-2023 12:27:35.40625	35
7-Sep-2023 12:27:27.40625	35
7-Sep-2023 12:27:26.40625	35
7-Sep-2023 06:40:49.96875	35
7-Sep-2023 02:37:17.65625	36
6-Sep-2023 23:38:41.3125	37
6-Sep-2023 23:38:39.3125	37
6-Sep-2023 23:37:55.25	37
6-Sep-2023 21:51:08.9375	37
6-Sep-2023 21:50:55.9375	37
6-Sep-2023 21:50:04.78125	37
6-Sep-2023 21:50:02.78125	37
6-Sep-2023 21:48:56.71875	37
6-Sep-2023 21:45:42.25	37
6-Sep-2023 21:45:37.25	37
6-Sep-2023 21:45:35.25	37
6-Sep-2023 21:45:00.125	37
6-Sep-2023 21:44:56.09375	37
6-Sep-2023 21:41:54.9375	37
6-Sep-2023 21:41:36.9375	37
6-Sep-2023 21:41:34.9375	37
6-Sep-2023 21:36:47.3125	37
6-Sep-2023 21:33:05.78125	37
6-Sep-2023 19:03:15.28125	37
6-Sep-2023 19:03:13.28125	37
6-Sep-2023 18:53:47.125	37
6-Sep-2023 18:48:16.65625	37
6-Sep-2023 17:51:21.5	38
6-Sep-2023 17:51:18.5	37
6-Sep-2023 17:43:41.65625	38
6-Sep-2023 17:43:38.65625	38
6-Sep-2023 17:39:17.25	37
6-Sep-2023 17:39:15.25	37
6-Sep-2023 17:36:19.03125	38
6-Sep-2023 17:36:09.96875	37
6-Sep-2023 17:30:05.40625	38
6-Sep-2023 17:29:54.375	37
6-Sep-2023 17:09:32.78125	38
6-Sep-2023 16:00:43.28125	38
6-Sep-2023 08:01:54.625	38
6-Sep-2023 04:02:19.59375	38
6-Sep-2023 04:02:16.59375	38
6-Sep-2023 03:58:21.96875	38
6-Sep-2023 02:29:43.21875	39
6-Sep-2023 02:14:29.4375	39
6-Sep-2023 02:14:27.4375	39
6-Sep-2023 02:10:37.0625	39
5-Sep-2023 22:31:59.65625	39
5-Sep-2023 22:31:45.65625	39
5-Sep-2023 22:30:57.5625	39
5-Sep-2023 22:29:26.1875	39
5-Sep-2023 22:28:56.0625	39
5-Sep-2023 22:28:54.0625	39
5-Sep-2023 22:27:33.90625	39
5-Sep-2023 21:57:58.71875	39
5-Sep-2023 14:43:23.96875	39
5-Sep-2023 14:36:25.40625	39
5-Sep-2023 14:35:57.25	39
5-Sep-2023 14:35:37.125	39
5-Sep-2023 14:33:01.5625	39
5-Sep-2023 14:32:54.53125	39
5-Sep-2023 12:39:05.78125	39
5-Sep-2023 12:39:02.78125	39
5-Sep-2023 12:38:53.75	39
5-Sep-2023 12:38:51.75	39
5-Sep-2023 12:37:26.46875	39
5-Sep-2023 12:37:12.46875	39
5-Sep-2023 12:36:08.21875	39
5-Sep-2023 12:35:59.15625	39
5-Sep-2023 12:35:57.15625	39
5-Sep-2023 12:35:16.03125	39
5-Sep-2023 12:35:12	39
5-Sep-2023 12:32:31.6875	39
5-Sep-2023 12:32:13.53125	39
5-Sep-2023 12:31:21.4375	39
5-Sep-2023 12:31:05.375	39
5-Sep-2023 12:31:03.375	39
5-Sep-2023 12:30:26.21875	39
5-Sep-2023 12:30:21.21875	39
5-Sep-2023 12:29:45.15625	39
5-Sep-2023 12:29:40.125	39
5-Sep-2023 12:29:20.03125	39
5-Sep-2023 12:29:15.03125	39
5-Sep-2023 12:28:33.875	39
5-Sep-2023 12:28:15.8125	39
5-Sep-2023 12:27:46.75	39
5-Sep-2023 12:27:43.75	39
5-Sep-2023 12:27:23.71875	39
5-Sep-2023 12:27:20.71875	39
5-Sep-2023 12:27:18.65625	39
5-Sep-2023 12:27:09.625	39
5-Sep-2023 12:26:53.53125	39
5-Sep-2023 12:26:26.4375	39
5-Sep-2023 12:24:43.09375	39
5-Sep-2023 12:23:22.875	39
5-Sep-2023 12:21:51.59375	39
5-Sep-2023 12:20:38.5	39
5-Sep-2023 12:20:34.5	39
5-Sep-2023 12:20:20.46875	39
5-Sep-2023 12:15:35.46875	39
5-Sep-2023 12:15:30.46875	39
5-Sep-2023 12:12:25.03125	39
5-Sep-2023 10:36:24.78125	39
5-Sep-2023 10:36:22.78125	39
5-Sep-2023 10:29:28.1875	39
5-Sep-2023 10:29:12.15625	39
5-Sep-2023 10:29:11.15625	39
5-Sep-2023 10:27:30.8125	39
5-Sep-2023 10:27:27.8125	39
5-Sep-2023 10:21:51.96875	39
5-Sep-2023 10:21:49.9375	39
5-Sep-2023 10:21:30.90625	39
5-Sep-2023 10:21:22.90625	39
5-Sep-2023 10:21:21.90625	39
5-Sep-2023 10:20:54.90625	39
5-Sep-2023 10:20:01.8125	39
5-Sep-2023 10:19:55.8125	39
5-Sep-2023 10:19:35.8125	39
5-Sep-2023 10:19:33.8125	39
5-Sep-2023 10:16:32.3125	39
5-Sep-2023 10:16:30.3125	39
5-Sep-2023 10:15:44.21875	39
5-Sep-2023 10:15:41.21875	39
5-Sep-2023 10:13:48.875	39
5-Sep-2023 10:13:38.84375	39
5-Sep-2023 10:13:01.75	39
5-Sep-2023 10:12:54.75	39
5-Sep-2023 10:12:19.65625	39
5-Sep-2023 10:12:17.65625	39
5-Sep-2023 10:11:39.4375	39
5-Sep-2023 10:09:56.9375	39
5-Sep-2023 08:09:24.875	38
5-Sep-2023 08:09:22.875	39
5-Sep-2023 08:08:45.71875	38
5-Sep-2023 07:54:43.40625	38
5-Sep-2023 07:52:40.96875	38
5-Sep-2023 07:52:36.96875	38
5-Sep-2023 07:43:38.25	38
5-Sep-2023 07:43:36.21875	38
5-Sep-2023 07:05:46	38
5-Sep-2023 07:05:44	38
5-Sep-2023 06:58:15.875	38
5-Sep-2023 06:52:20.84375	38
5-Sep-2023 06:52:11.84375	39
5-Sep-2023 06:52:10.84375	38
5-Sep-2023 06:49:28.5	38
5-Sep-2023 06:49:26.5	39
5-Sep-2023 06:49:25.5	38
5-Sep-2023 06:47:57.21875	38
5-Sep-2023 06:47:52.21875	38
5-Sep-2023 06:44:12.71875	38
5-Sep-2023 06:44:10.71875	39
