Name	\\HST1\T1.A26BTI
Data Type	Float 32
Number of Values	69864
Time	Value	Value Attributes
10-Nov-2023 15:59:24.09375	51
10-Nov-2023 15:52:26.65625	51
10-Nov-2023 15:49:59.34375	51
10-Nov-2023 15:48:19.84375	51
10-Nov-2023 15:44:17.8125	51
10-Nov-2023 15:41:26.21875	51
10-Nov-2023 15:41:03.1875	51
10-Nov-2023 15:40:55.1875	51
10-Nov-2023 15:38:27.6875	51
10-Nov-2023 15:38:19.65625	51
10-Nov-2023 15:35:08.21875	51
10-Nov-2023 15:32:01.21875	51
10-Nov-2023 15:26:42.25	51
10-Nov-2023 15:23:44.8125	51
10-Nov-2023 15:19:08.09375	51
10-Nov-2023 15:15:02.46875	51
10-Nov-2023 15:10:07.6875	51
10-Nov-2023 15:07:02.34375	51
10-Nov-2023 14:57:40.9375	51
10-Nov-2023 14:50:03.40625	51
10-Nov-2023 14:47:06.9375	51
10-Nov-2023 14:43:40.40625	51
10-Nov-2023 14:40:11.65625	51
10-Nov-2023 14:37:23.65625	51
10-Nov-2023 14:29:59.46875	51
10-Nov-2023 14:23:34.5625	51
10-Nov-2023 14:20:24.0625	51
10-Nov-2023 14:17:41.4375	51
10-Nov-2023 14:17:39.4375	51
10-Nov-2023 14:13:44.6875	51
10-Nov-2023 14:11:51.28125	51
10-Nov-2023 14:09:41.78125	51
10-Nov-2023 14:08:45.71875	51
10-Nov-2023 14:04:30.46875	51
10-Nov-2023 13:59:29.59375	51
10-Nov-2023 13:54:17.90625	51
10-Nov-2023 13:51:30.3125	51
10-Nov-2023 13:46:32.5625	51
10-Nov-2023 13:45:28.5625	51
10-Nov-2023 13:41:56.21875	51
10-Nov-2023 13:38:28.65625	51
10-Nov-2023 13:38:26.65625	51
10-Nov-2023 13:38:01.5	51
10-Nov-2023 13:37:57.5	51
10-Nov-2023 13:37:16.40625	51
10-Nov-2023 13:36:55.375	51
10-Nov-2023 13:36:09.25	51
10-Nov-2023 13:36:01.21875	51
10-Nov-2023 13:35:42.15625	51
10-Nov-2023 13:34:57	51
10-Nov-2023 13:34:49.96875	51
10-Nov-2023 13:34:48.96875	51
10-Nov-2023 13:26:31.6875	51
10-Nov-2023 13:25:41.5	51
10-Nov-2023 13:22:24.03125	51
10-Nov-2023 13:13:07.65625	51
10-Nov-2023 13:05:31.09375	51
10-Nov-2023 13:05:27.0625	51
10-Nov-2023 12:56:56.53125	51
10-Nov-2023 12:50:51.5	51
10-Nov-2023 12:38:52.0625	51
10-Nov-2023 12:35:47.3125	51
10-Nov-2023 12:30:07.46875	51
10-Nov-2023 12:24:07.71875	51
10-Nov-2023 12:05:51.03125	52
10-Nov-2023 12:02:12.53125	52
10-Nov-2023 11:48:12.78125	52
10-Nov-2023 11:40:23.15625	52
10-Nov-2023 11:30:10.21875	52
10-Nov-2023 11:23:23.6875	52
10-Nov-2023 11:08:36.09375	53
10-Nov-2023 11:08:31.0625	53
10-Nov-2023 10:57:32.9375	53
10-Nov-2023 10:55:49.78125	53
10-Nov-2023 10:48:48.4375	53
10-Nov-2023 10:44:52.75	53
10-Nov-2023 10:39:26.53125	53
10-Nov-2023 10:05:05.53125	54
10-Nov-2023 10:03:38.34375	54
10-Nov-2023 09:57:45.125	54
10-Nov-2023 09:38:01.09375	54
10-Nov-2023 09:34:58.6875	54
10-Nov-2023 09:07:03.875	55
10-Nov-2023 08:50:31.15625	55
10-Nov-2023 08:47:51.625	55
10-Nov-2023 08:33:02.59375	55
10-Nov-2023 08:24:26	55
10-Nov-2023 08:16:07.59375	55
10-Nov-2023 08:12:50.75	55
10-Nov-2023 07:44:42.90625	55
10-Nov-2023 07:38:25.53125	55
10-Nov-2023 07:19:54.9375	55
10-Nov-2023 07:13:31.96875	55
10-Nov-2023 07:06:18.0625	55
10-Nov-2023 06:55:22.78125	55
10-Nov-2023 06:50:36.0625	55
10-Nov-2023 06:39:50.09375	55
10-Nov-2023 06:33:08.75	55
10-Nov-2023 06:23:24.03125	55
10-Nov-2023 06:10:19.40625	55
10-Nov-2023 06:05:14.125	55
10-Nov-2023 06:01:48.90625	55
10-Nov-2023 05:58:28.25	55
10-Nov-2023 05:49:48.65625	55
10-Nov-2023 05:48:37.40625	55
10-Nov-2023 05:44:42.65625	55
10-Nov-2023 05:38:57.78125	54
10-Nov-2023 05:36:54.46875	54
10-Nov-2023 05:32:58.96875	54
10-Nov-2023 05:32:32.875	54
10-Nov-2023 05:26:26.78125	54
10-Nov-2023 05:23:42.375	54
10-Nov-2023 05:10:38.09375	54
10-Nov-2023 05:03:59.09375	54
10-Nov-2023 05:00:44.65625	54
