Name	\\HST1\T1.A26CBJ2
Data Type	Float 32
Number of Values	56990
Time	Value	Value Attributes
20-Mar-2024 08:46:36.375	67
20-Mar-2024 08:35:36.59375	67
20-Mar-2024 08:27:42	67
20-Mar-2024 08:22:04.75	67
20-Mar-2024 08:16:17.46875	67
20-Mar-2024 08:05:53.125	67
20-Mar-2024 07:50:43.5625	67
20-Mar-2024 07:33:23	67
20-Mar-2024 07:23:52.28125	67
20-Mar-2024 07:14:48.71875	67
20-Mar-2024 07:09:12.25	67
20-Mar-2024 07:07:44.1875	67
20-Mar-2024 06:54:27.34375	67
20-Mar-2024 06:47:04.125	67
20-Mar-2024 06:38:18.6875	67
20-Mar-2024 06:20:00.9375	67
20-Mar-2024 06:09:40.25	67
20-Mar-2024 05:48:37.15625	67
20-Mar-2024 05:44:37.96875	67
20-Mar-2024 05:41:38.84375	67
20-Mar-2024 05:39:44.8125	67
20-Mar-2024 05:09:43.40625	67
20-Mar-2024 04:50:44.53125	66
20-Mar-2024 04:37:25.71875	66
20-Mar-2024 04:29:11.5625	66
20-Mar-2024 04:17:59.71875	66
