Name	\\HST1\T3.PTVIB_B
Data Type	Float 32
Number of Values	1339
Time	Value	Value Attributes
24-Jan-2024 06:21:39.70889	0.7
24-Jan-2024 06:21:38.74904	0.7
24-Jan-2024 06:11:38.84283	0.7
24-Jan-2024 06:11:37.56303	0.7
24-Jan-2024 06:01:37.65784	0.6
24-Jan-2024 06:01:37.01793	0.7
24-Jan-2024 05:51:37.11174	0.7
24-Jan-2024 05:51:35.83192	0.9
24-Jan-2024 05:41:36.88658	0.7
24-Jan-2024 05:41:35.92673	0.7
24-Jan-2024 05:31:36.02153	0.7
24-Jan-2024 05:31:35.06168	0.7
24-Jan-2024 05:21:35.15547	0.6
24-Jan-2024 05:21:33.87567	0.7
24-Jan-2024 05:11:34.61037	0.7
24-Jan-2024 05:11:33.33057	0.7
24-Jan-2024 05:01:33.42537	0.7
24-Jan-2024 05:01:32.46552	0.7
24-Jan-2024 04:51:32.55931	0.7
24-Jan-2024 04:51:31.59946	0.7
24-Jan-2024 04:41:31.69426	0.7
24-Jan-2024 04:41:30.73441	0.7
24-Jan-2024 04:31:30.8282	0.7
24-Jan-2024 04:31:29.54941	0.7
24-Jan-2024 04:21:29.6432	0.7
24-Jan-2024 04:21:29.0033	1.0
24-Jan-2024 04:11:29.0981	0.7
24-Jan-2024 04:11:28.13824	0.7
24-Jan-2024 04:01:28.23204	0.7
24-Jan-2024 04:01:26.95224	0.7
24-Jan-2024 03:51:27.04704	0.8
24-Jan-2024 03:51:26.40714	0.7
24-Jan-2024 03:41:26.50095	0.7
24-Jan-2024 03:41:25.22113	0.7
24-Jan-2024 03:31:25.31494	0.6
24-Jan-2024 03:31:22.43538	0.7
24-Jan-2024 03:30:19.08507	0.7
16-Jan-2024 09:31:28.39294	0.8
16-Jan-2024 09:21:27.52689	0.7
16-Jan-2024 01:30:47.48828	0.7
15-Jan-2024 17:40:05.52396	0.7
15-Jan-2024 09:49:26.75415	0.7
15-Jan-2024 01:58:44.79784	0.8
14-Jan-2024 18:08:03.80836	0.6
14-Jan-2024 10:17:21.5251	0.7
14-Jan-2024 02:26:42.11938	0.7
13-Jan-2024 18:36:01.75482	0.6
13-Jan-2024 10:45:20.10846	0.6
13-Jan-2024 02:54:38.14914	0.7
12-Jan-2024 19:03:58.10753	0.8
12-Jan-2024 11:13:17.10406	0.7
12-Jan-2024 03:22:35.14474	0.7
11-Jan-2024 19:31:53.50337	0.7
11-Jan-2024 11:41:14.09566	0.7
11-Jan-2024 03:50:32.13535	0.7
10-Jan-2024 19:59:51.45383	0.7
10-Jan-2024 12:09:09.47951	0.7
10-Jan-2024 04:18:29.4279	0.7
9-Jan-2024 20:27:47.46658	0.8
9-Jan-2024 12:37:05.50127	0.8
9-Jan-2024 04:46:23.52495	0.6
8-Jan-2024 20:55:41.56163	0.8
8-Jan-2024 13:05:00.55417	0.7
8-Jan-2024 05:14:18.58685	0.7
7-Jan-2024 21:23:38.54523	0.7
7-Jan-2024 13:32:57.53976	0.9
7-Jan-2024 05:42:15.57645	0.7
6-Jan-2024 21:51:34.57399	0.7
6-Jan-2024 14:00:55.48523	0.7
6-Jan-2024 06:10:14.80472	0.7
5-Jan-2024 22:19:33.80225	0.8
5-Jan-2024 14:28:52.79079	0.7
5-Jan-2024 06:38:12.08928	0.7
4-Jan-2024 22:47:29.808	0.7
4-Jan-2024 14:56:47.83969	0.7
4-Jan-2024 07:06:05.87636	0.8
3-Jan-2024 23:15:23.91705	0.7
3-Jan-2024 15:24:43.87643	0.7
3-Jan-2024 07:34:04.16177	0.7
2-Jan-2024 23:43:23.1703	0.7
2-Jan-2024 15:52:42.17384	0.7
2-Jan-2024 08:02:02.13623	0.7
2-Jan-2024 00:11:21.46471	0.7
1-Jan-2024 16:20:40.14729	0.7
1-Jan-2024 08:29:58.51093	0.6
1-Jan-2024 00:39:16.5636	0.7
31-Dec-2023 16:48:35.56914	0.8
31-Dec-2023 08:57:54.59366	0.8
31-Dec-2023 01:07:12.64334	0.7
30-Dec-2023 17:16:30.72202	0.7
30-Dec-2023 09:25:50.0685	0.7
30-Dec-2023 01:35:08.76808	0.7
29-Dec-2023 17:44:29.08441	0.9
29-Dec-2023 09:53:48.13094	0.7
29-Dec-2023 02:03:07.47443	0.7
28-Dec-2023 18:12:25.54111	0.7
28-Dec-2023 10:21:45.52449	0.8
28-Dec-2023 02:31:04.54901	0.8
27-Dec-2023 18:40:22.6037	0.7
27-Dec-2023 10:49:40.31842	0.7
27-Dec-2023 02:58:59.64091	0.7
26-Dec-2023 19:08:17.68259	0.7
26-Dec-2023 11:17:35.71628	0.7
26-Dec-2023 03:26:54.70981	0.7
25-Dec-2023 19:36:12.74548	1.0
25-Dec-2023 11:45:30.78217	0.7
25-Dec-2023 03:54:48.82486	0.6
24-Dec-2023 20:04:08.14233	0.9
24-Dec-2023 12:13:26.81892	0.7
24-Dec-2023 04:22:44.85361	0.7
23-Dec-2023 20:32:03.21724	0.7
23-Dec-2023 12:41:22.22676	0.7
23-Dec-2023 04:50:40.26344	0.7
22-Dec-2023 20:59:57.98718	0.7
22-Dec-2023 13:09:16.03485	0.7
22-Dec-2023 05:18:34.39349	0.7
21-Dec-2023 21:27:54.67683	0.7
21-Dec-2023 13:37:13.3804	0.7
21-Dec-2023 05:46:31.41609	0.7
20-Dec-2023 21:55:50.73558	0.7
20-Dec-2023 14:05:09.74911	0.7
20-Dec-2023 06:14:28.76164	0.7
19-Dec-2023 22:23:48.72702	0.7
19-Dec-2023 14:33:06.77571	0.8
19-Dec-2023 06:42:24.81239	0.7
18-Dec-2023 22:51:44.13187	0.7
18-Dec-2023 15:01:02.18555	0.8
18-Dec-2023 07:10:21.18509	0.7
17-Dec-2023 23:19:39.23376	0.7
17-Dec-2023 15:28:57.29344	0.6
17-Dec-2023 07:38:16.61493	0.7
16-Dec-2023 23:47:35.30251	0.7
16-Dec-2023 15:56:54.65199	0.7
16-Dec-2023 08:06:14.61038	0.8
16-Dec-2023 00:15:33.93686	0.8
15-Dec-2023 16:24:53.90926	0.8
15-Dec-2023 08:34:11.95793	0.8
15-Dec-2023 00:43:29.9976	0.6
14-Dec-2023 16:52:49.33009	0.8
14-Dec-2023 09:02:06.73787	0.8
14-Dec-2023 01:11:25.10049	0.6
13-Dec-2023 17:20:43.14818	0.8
13-Dec-2023 09:30:01.19186	0.6
13-Dec-2023 01:39:19.23454	0.7
12-Dec-2023 17:48:38.56602	0.7
12-Dec-2023 09:57:56.60771	0.7
12-Dec-2023 02:07:15.59924	0.7
11-Dec-2023 18:16:33.98387	0.8
11-Dec-2023 10:25:52.67145	0.7
11-Dec-2023 02:35:11.99094	0.8
10-Dec-2023 18:44:30.66553	0.7
10-Dec-2023 10:53:48.71021	0.7
10-Dec-2023 03:03:08.02269	0.7
9-Dec-2023 19:12:27.33818	0.8
9-Dec-2023 11:21:45.38585	0.6
9-Dec-2023 03:31:04.05943	0.7
8-Dec-2023 19:40:24.33177	0.7
8-Dec-2023 11:49:42.37946	0.7
8-Dec-2023 03:59:00.73209	0.9
7-Dec-2023 20:08:19.42567	0.6
7-Dec-2023 12:17:37.47835	0.6
7-Dec-2023 04:26:56.79384	0.8
6-Dec-2023 20:36:16.74623	0.7
6-Dec-2023 12:45:36.69962	0.7
6-Dec-2023 04:54:56.97995	0.6
5-Dec-2023 21:04:15.66754	0.6
5-Dec-2023 13:13:35.01302	0.7
5-Dec-2023 05:22:54.9944	0.7
4-Dec-2023 21:32:13.04308	0.6
4-Dec-2023 13:41:31.08977	0.7
4-Dec-2023 05:50:50.42424	0.7
3-Dec-2023 22:00:08.47592	0.7
3-Dec-2023 14:09:27.49646	0.7
3-Dec-2023 06:18:45.54413	0.7
2-Dec-2023 22:28:03.59381	0.7
2-Dec-2023 14:37:21.61235	0.8
2-Dec-2023 10:16:58.5132	0.6
2-Dec-2023 02:26:16.56088	0.6
1-Dec-2023 18:35:34.61955	0.7
1-Dec-2023 10:44:52.69423	0.9
1-Dec-2023 02:54:11.06487	0.6
30-Nov-2023 19:03:29.11655	1.1
30-Nov-2023 11:12:47.81512	0.8
30-Nov-2023 03:22:05.86481	0.7
29-Nov-2023 19:31:25.19429	0.7
29-Nov-2023 11:40:43.23996	0.6
29-Nov-2023 03:50:01.28764	0.8
28-Nov-2023 19:59:21.25504	0.6
28-Nov-2023 12:08:39.30171	1.1
28-Nov-2023 04:17:59.58905	0.6
27-Nov-2023 20:27:17.65073	0.6
27-Nov-2023 12:36:34.73755	0.6
27-Nov-2023 12:29:02.54201	Intf Shut
27-Nov-2023 12:26:34.83235	0.8
27-Nov-2023 12:26:33.55255	0.6
27-Nov-2023 12:16:33.64735	0.7
27-Nov-2023 12:16:33.00745	0.7
27-Nov-2023 12:06:33.10225	0.7
27-Nov-2023 12:06:31.82245	0.6
27-Nov-2023 11:56:32.2372	0.6
27-Nov-2023 11:56:30.95738	0.8
27-Nov-2023 11:46:31.05319	0.7
27-Nov-2023 11:46:30.41328	0.6
27-Nov-2023 11:36:30.50809	0.7
27-Nov-2023 11:36:29.22829	0.7
27-Nov-2023 11:26:29.32307	0.8
27-Nov-2023 11:26:28.36322	0.7
27-Nov-2023 11:16:28.45802	0.7
27-Nov-2023 11:16:27.49817	0.8
27-Nov-2023 11:06:27.59297	0.8
27-Nov-2023 11:06:26.63312	0.7
27-Nov-2023 10:56:26.72792	0.8
27-Nov-2023 10:56:25.44812	0.6
27-Nov-2023 10:46:25.54291	0.9
27-Nov-2023 10:46:24.90302	0.6
27-Nov-2023 10:36:24.99782	0.8
