Name	\\HST1\T1.A26BJ2A
Data Type	Float 32
Number of Values	57655
Time	Value	Value Attributes
26-Mar-2024 19:38:29.84375	32
26-Mar-2024 19:00:30.5625	32
26-Mar-2024 18:59:50.53125	32
26-Mar-2024 18:59:49.53125	33
26-Mar-2024 18:47:06.96875	33
26-Mar-2024 18:01:03.4375	34
26-Mar-2024 17:03:27.09375	35
26-Mar-2024 16:28:12.90625	37
26-Mar-2024 16:24:32.84375	37
26-Mar-2024 16:24:14.84375	38
26-Mar-2024 16:24:13.84375	37
26-Mar-2024 16:24:00.84375	38
26-Mar-2024 16:17:42.5	38
26-Mar-2024 16:04:00.0625	39
26-Mar-2024 16:03:09.0625	40
26-Mar-2024 15:42:54.34375	38
26-Mar-2024 15:40:04.21875	38
26-Mar-2024 15:21:16.6875	36
26-Mar-2024 15:16:45.46875	36
26-Mar-2024 15:13:34.21875	35
26-Mar-2024 15:12:20	34
26-Mar-2024 15:11:55	33
26-Mar-2024 15:11:32.96875	31
26-Mar-2024 15:11:15.96875	30
26-Mar-2024 14:43:54.125	30
26-Mar-2024 12:01:46.75	30
26-Mar-2024 08:02:45	29
26-Mar-2024 08:02:30.96875	29
26-Mar-2024 07:58:57.84375	29
26-Mar-2024 07:58:44.84375	29
26-Mar-2024 07:58:35.84375	29
26-Mar-2024 07:58:32.84375	29
26-Mar-2024 07:58:23.84375	29
26-Mar-2024 07:58:22.84375	29
26-Mar-2024 07:13:53.9375	29
26-Mar-2024 07:07:53.625	29
26-Mar-2024 07:07:52.625	29
26-Mar-2024 07:04:03.5625	29
26-Mar-2024 05:20:40.84375	29
26-Mar-2024 02:59:23.96875	29
26-Mar-2024 02:59:22.96875	29
26-Mar-2024 02:16:18.46875	29
26-Mar-2024 01:15:07.5	30
26-Mar-2024 00:45:53.34375	31
26-Mar-2024 00:42:08.15625	31
25-Mar-2024 23:44:27.84375	32
25-Mar-2024 23:28:11.34375	32
25-Mar-2024 23:28:09.34375	32
25-Mar-2024 23:27:45.34375	32
25-Mar-2024 23:16:45	33
25-Mar-2024 22:50:59.90625	33
25-Mar-2024 22:22:22.875	34
25-Mar-2024 22:03:29.15625	35
25-Mar-2024 21:24:10.71875	36
25-Mar-2024 21:24:09.71875	37
25-Mar-2024 21:06:05.3125	38
25-Mar-2024 21:05:52.3125	38
25-Mar-2024 21:05:51.3125	38
25-Mar-2024 20:57:43.96875	38
25-Mar-2024 20:57:41.96875	38
25-Mar-2024 20:57:25.96875	38
25-Mar-2024 20:50:27.8125	39
25-Mar-2024 20:49:45.8125	40
25-Mar-2024 20:47:19.6875	39
25-Mar-2024 20:37:42.28125	39
25-Mar-2024 20:37:36.28125	39
25-Mar-2024 20:35:15.21875	38
25-Mar-2024 20:21:15.5	37
25-Mar-2024 20:11:57.21875	36
25-Mar-2024 20:09:07.09375	36
25-Mar-2024 20:00:10.6875	36
25-Mar-2024 19:58:19.65625	35
25-Mar-2024 19:57:37.65625	34
25-Mar-2024 19:57:18.625	33
25-Mar-2024 19:56:53.625	31
25-Mar-2024 19:56:30.625	30
25-Mar-2024 19:15:04.90625	31
25-Mar-2024 19:15:02.90625	31
25-Mar-2024 19:14:38.875	31
25-Mar-2024 19:08:56.53125	31
25-Mar-2024 19:08:42.5	31
25-Mar-2024 17:56:40.9375	31
25-Mar-2024 17:51:18.6875	31
25-Mar-2024 17:03:41.375	31
25-Mar-2024 15:24:26.65625	32
25-Mar-2024 12:22:57.28125	32
25-Mar-2024 11:00:30.46875	32
25-Mar-2024 08:54:37.46875	31
25-Mar-2024 08:54:35.46875	31
25-Mar-2024 08:51:33.34375	31
25-Mar-2024 08:31:04.21875	30
25-Mar-2024 05:50:51.6875	29
25-Mar-2024 05:50:33.65625	29
25-Mar-2024 05:49:57.625	29
25-Mar-2024 05:49:54.625	29
25-Mar-2024 05:49:13.5	29
25-Mar-2024 05:49:08.5	29
25-Mar-2024 05:49:06.5	29
25-Mar-2024 05:47:37.4375	29
25-Mar-2024 05:47:32.4375	29
25-Mar-2024 05:46:53.40625	29
25-Mar-2024 05:46:31.40625	29
25-Mar-2024 05:46:29.40625	29
25-Mar-2024 05:46:21.40625	29
25-Mar-2024 05:44:32.3125	29
25-Mar-2024 05:44:29.3125	29
25-Mar-2024 05:04:50.21875	29
25-Mar-2024 03:50:49.03125	29
25-Mar-2024 02:49:40.6875	29
25-Mar-2024 02:49:38.6875	29
25-Mar-2024 02:29:53.875	29
25-Mar-2024 01:21:32.25	31
25-Mar-2024 00:56:35.90625	31
25-Mar-2024 00:49:22.78125	32
25-Mar-2024 00:10:55.5	33
24-Mar-2024 23:32:29.1875	35
24-Mar-2024 23:18:07.8125	36
24-Mar-2024 23:14:36.625	36
24-Mar-2024 22:58:21.84375	38
24-Mar-2024 22:58:19.84375	38
24-Mar-2024 22:49:51.625	39
24-Mar-2024 22:49:14.59375	40
24-Mar-2024 22:32:10.9375	38
24-Mar-2024 22:00:41.71875	36
24-Mar-2024 21:53:04.5	35
24-Mar-2024 21:50:52.4375	34
24-Mar-2024 21:50:11.40625	33
24-Mar-2024 21:49:51.34375	32
24-Mar-2024 21:49:27.34375	28
24-Mar-2024 21:49:18.34375	28
24-Mar-2024 21:49:09.34375	27
24-Mar-2024 21:32:55.625	27
24-Mar-2024 19:21:03.0625	28
24-Mar-2024 19:21:01.0625	29
24-Mar-2024 19:20:13	28
24-Mar-2024 19:20:08	29
24-Mar-2024 18:28:19.03125	29
24-Mar-2024 18:28:14.03125	29
24-Mar-2024 18:27:39.96875	29
24-Mar-2024 18:27:37.96875	29
24-Mar-2024 18:27:01.96875	29
24-Mar-2024 18:26:57.96875	29
24-Mar-2024 18:26:08.9375	29
24-Mar-2024 18:26:05.9375	29
24-Mar-2024 18:25:39.9375	29
24-Mar-2024 18:25:30.9375	29
24-Mar-2024 18:24:29.9375	29
24-Mar-2024 18:24:27.9375	29
24-Mar-2024 18:23:38.90625	29
24-Mar-2024 17:52:45.1875	29
24-Mar-2024 16:21:31	30
24-Mar-2024 13:47:08.625	30
24-Mar-2024 13:45:21.59375	30
24-Mar-2024 13:42:54.5	30
24-Mar-2024 13:42:52.46875	30
24-Mar-2024 13:41:55.4375	30
24-Mar-2024 13:41:49.4375	30
24-Mar-2024 13:40:19.40625	30
24-Mar-2024 13:40:17.40625	30
24-Mar-2024 13:39:57.34375	30
24-Mar-2024 13:38:23.3125	30
24-Mar-2024 13:38:17.3125	30
24-Mar-2024 13:38:14.3125	30
24-Mar-2024 13:37:04.25	30
24-Mar-2024 13:37:02.25	30
24-Mar-2024 13:35:56.1875	30
24-Mar-2024 13:35:48.1875	30
24-Mar-2024 13:34:24.125	30
24-Mar-2024 13:34:13.125	30
24-Mar-2024 13:33:24.09375	30
24-Mar-2024 13:33:22.0625	30
24-Mar-2024 13:32:36.0625	30
24-Mar-2024 13:32:34.0625	30
24-Mar-2024 13:32:17.0625	30
24-Mar-2024 13:31:03.0625	30
24-Mar-2024 13:31:01.0625	30
24-Mar-2024 13:30:03.03125	30
24-Mar-2024 13:30:02.03125	30
24-Mar-2024 13:29:08	30
24-Mar-2024 13:29:06	30
24-Mar-2024 13:27:12.78125	30
24-Mar-2024 13:27:10.78125	30
24-Mar-2024 13:27:02.75	30
24-Mar-2024 13:26:56.75	30
24-Mar-2024 13:25:49.71875	30
24-Mar-2024 13:25:40.71875	30
24-Mar-2024 13:25:39.71875	30
24-Mar-2024 13:25:31.71875	30
24-Mar-2024 13:25:09.6875	30
24-Mar-2024 13:25:01.65625	30
24-Mar-2024 13:25:00.65625	30
24-Mar-2024 13:23:52.625	30
24-Mar-2024 13:22:13.53125	30
24-Mar-2024 13:22:11.53125	30
24-Mar-2024 13:21:17.53125	30
24-Mar-2024 13:20:58.53125	30
24-Mar-2024 13:20:39.53125	30
24-Mar-2024 13:20:36.53125	30
24-Mar-2024 13:18:53.53125	30
24-Mar-2024 13:18:50.53125	30
24-Mar-2024 13:18:49.53125	30
24-Mar-2024 13:18:22.5	30
24-Mar-2024 13:18:12.5	30
24-Mar-2024 13:18:09.5	30
24-Mar-2024 13:17:59.5	30
24-Mar-2024 13:17:58.5	30
24-Mar-2024 13:17:57.5	30
24-Mar-2024 13:17:56.5	30
24-Mar-2024 13:17:31.46875	30
24-Mar-2024 13:17:29.46875	30
24-Mar-2024 13:17:06.46875	30
24-Mar-2024 13:16:54.46875	30
24-Mar-2024 13:16:34.4375	30
24-Mar-2024 13:16:28.40625	30
24-Mar-2024 13:16:14.40625	30
24-Mar-2024 13:16:11.40625	30
24-Mar-2024 13:15:23.3125	30
24-Mar-2024 13:15:15.3125	30
24-Mar-2024 13:14:48.28125	30
24-Mar-2024 13:14:32.28125	30
24-Mar-2024 13:14:24.28125	30
24-Mar-2024 13:14:22.28125	30
24-Mar-2024 13:14:20.28125	30
24-Mar-2024 13:14:11.28125	30
24-Mar-2024 13:14:07.28125	30
24-Mar-2024 13:13:48.28125	30
24-Mar-2024 13:13:46.28125	30
24-Mar-2024 13:13:43.28125	30
24-Mar-2024 13:12:54.28125	30
24-Mar-2024 13:12:45.25	30
24-Mar-2024 13:12:18.25	30
24-Mar-2024 13:12:16.25	30
24-Mar-2024 13:12:09.25	30
24-Mar-2024 13:12:00.21875	30
24-Mar-2024 13:11:50.21875	30
24-Mar-2024 13:11:32.1875	30
24-Mar-2024 13:11:31.1875	30
24-Mar-2024 13:11:15.1875	30
24-Mar-2024 13:11:03.1875	30
24-Mar-2024 13:10:54.15625	30
24-Mar-2024 13:10:05.125	30
24-Mar-2024 13:10:01.125	30
24-Mar-2024 13:10:00.125	30
24-Mar-2024 13:09:50.125	30
24-Mar-2024 13:09:44.09375	30
24-Mar-2024 13:09:07.0625	30
24-Mar-2024 13:09:05.0625	30
24-Mar-2024 13:09:04.0625	30
24-Mar-2024 13:08:43.03125	30
24-Mar-2024 13:08:40.03125	30
24-Mar-2024 13:08:20.03125	30
24-Mar-2024 13:08:14.03125	30
24-Mar-2024 13:08:07.03125	30
24-Mar-2024 13:07:58.03125	30
24-Mar-2024 13:07:56.03125	30
24-Mar-2024 13:07:53.03125	30
24-Mar-2024 13:07:33.03125	30
24-Mar-2024 13:06:58.03125	30
24-Mar-2024 13:06:55.03125	30
24-Mar-2024 13:06:54.03125	30
24-Mar-2024 13:06:37.03125	30
24-Mar-2024 13:06:35.03125	30
24-Mar-2024 13:06:31.03125	30
24-Mar-2024 13:06:22.03125	30
24-Mar-2024 13:06:09.03125	30
24-Mar-2024 13:05:44.96875	30
24-Mar-2024 13:05:32.96875	30
24-Mar-2024 13:05:29.96875	30
24-Mar-2024 13:05:18.96875	30
24-Mar-2024 13:05:00.9375	30
24-Mar-2024 13:04:23.9375	30
24-Mar-2024 13:03:41.9375	30
24-Mar-2024 13:03:34.9375	30
24-Mar-2024 13:03:31.9375	30
