Date,Time,T1_A26BTAB
27-Jun-2023,07:07:08.375,71
27-Jun-2023,07:08:55.4375,71
27-Jun-2023,07:11:58.84375,71
27-Jun-2023,07:18:32.375,71
27-Jun-2023,07:22:40.5625,71
27-Jun-2023,07:27:00.6875,71
27-Jun-2023,07:32:19.75,72
27-Jun-2023,07:32:21.75,71
27-Jun-2023,07:34:46.84375,71
27-Jun-2023,07:35:06.90625,71
27-Jun-2023,07:35:34.90625,71
27-Jun-2023,07:36:26.90625,71
27-Jun-2023,07:37:27,72
27-Jun-2023,07:37:30,71
27-Jun-2023,07:41:21.21875,71
27-Jun-2023,07:45:14.3125,71
27-Jun-2023,07:46:35.40625,72
27-Jun-2023,07:49:06.46875,72
27-Jun-2023,07:55:51.75,72
27-Jun-2023,07:57:25.90625,71
27-Jun-2023,07:59:29.03125,71
27-Jun-2023,08:03:57.125,72
27-Jun-2023,08:07:55.1875,71
27-Jun-2023,08:10:48.3125,71
27-Jun-2023,08:13:13.53125,72
27-Jun-2023,08:15:26.5625,71
27-Jun-2023,08:15:28.5625,71
27-Jun-2023,08:17:59.75,71
27-Jun-2023,08:30:40.3125,71
27-Jun-2023,08:34:41.53125,72
27-Jun-2023,08:36:19.6875,71
27-Jun-2023,08:37:30.84375,72
27-Jun-2023,08:39:06.9375,72
27-Jun-2023,08:41:01,72
27-Jun-2023,08:44:41.21875,72
27-Jun-2023,08:46:49.28125,72
27-Jun-2023,08:48:17.34375,72
27-Jun-2023,08:51:16.5,71
27-Jun-2023,08:52:04.53125,72
27-Jun-2023,08:53:44.53125,72
27-Jun-2023,08:54:56.6875,71
27-Jun-2023,08:58:45.9375,72
27-Jun-2023,09:00:18,72
27-Jun-2023,09:06:00.53125,72
27-Jun-2023,09:08:04.53125,72
27-Jun-2023,09:10:07.6875,72
27-Jun-2023,09:14:02.84375,71
27-Jun-2023,09:20:10.1875,71
27-Jun-2023,09:21:21.28125,71
27-Jun-2023,09:24:15.53125,71
27-Jun-2023,09:28:32.8125,71
27-Jun-2023,09:30:57.96875,71
27-Jun-2023,09:34:18.34375,71
27-Jun-2023,09:37:08.625,71
27-Jun-2023,09:41:50.84375,72
27-Jun-2023,09:44:40.0625,71
27-Jun-2023,09:49:55.9375,71
27-Jun-2023,09:51:59.03125,71
27-Jun-2023,09:54:32.1875,72
27-Jun-2023,09:56:15.34375,72
27-Jun-2023,10:05:34.875,72
27-Jun-2023,10:08:54.0625,72
27-Jun-2023,10:16:27.71875,72
27-Jun-2023,10:23:45.03125,71
27-Jun-2023,10:27:16.0625,72
27-Jun-2023,10:31:52.4375,71
27-Jun-2023,10:36:33.8125,72
27-Jun-2023,10:50:46.03125,72
27-Jun-2023,10:52:29.0625,72
27-Jun-2023,10:56:36.25,72
27-Jun-2023,11:03:52.65625,72
27-Jun-2023,11:10:30.03125,72
27-Jun-2023,11:14:41.40625,71
27-Jun-2023,11:17:01.625,72
27-Jun-2023,11:18:00.65625,72
27-Jun-2023,11:26:09.96875,72
27-Jun-2023,11:28:27.09375,71
27-Jun-2023,11:37:39.78125,71
27-Jun-2023,11:44:15.25,71
27-Jun-2023,11:49:35.59375,71
27-Jun-2023,11:54:28.9375,71
27-Jun-2023,11:59:38.53125,71
27-Jun-2023,12:01:53.625,71
27-Jun-2023,12:03:59.78125,71
27-Jun-2023,12:06:32.9375,71
27-Jun-2023,12:08:15.96875,71
27-Jun-2023,12:14:30.375,71
27-Jun-2023,12:16:43.5625,71
27-Jun-2023,12:26:27.34375,71
27-Jun-2023,12:28:19.65625,71
27-Jun-2023,12:29:10.65625,71
27-Jun-2023,12:29:39.65625,71
27-Jun-2023,12:36:38,71
27-Jun-2023,12:51:14.78125,71
27-Jun-2023,12:53:40.96875,71
27-Jun-2023,12:59:33.3125,71
27-Jun-2023,13:03:46.71875,71
27-Jun-2023,13:10:40.125,71
27-Jun-2023,13:18:31.34375,71
27-Jun-2023,13:18:32.34375,70
27-Jun-2023,13:23:02.625,70
27-Jun-2023,13:37:52.4375,70
27-Jun-2023,13:38:48.5,70
27-Jun-2023,13:54:40.59375,70
27-Jun-2023,13:55:53.59375,70
27-Jun-2023,13:59:17.875,70
27-Jun-2023,13:59:18.875,70
27-Jun-2023,14:14:55.625,70
27-Jun-2023,14:21:26.09375,69
27-Jun-2023,14:24:32.28125,69
27-Jun-2023,14:28:39.4375,69
27-Jun-2023,14:30:19.53125,69
27-Jun-2023,14:33:11.71875,70
27-Jun-2023,14:36:46.84375,69
27-Jun-2023,14:51:25.5625,69
27-Jun-2023,14:53:17.65625,69
27-Jun-2023,14:53:24.65625,69
27-Jun-2023,14:55:19.75,69
27-Jun-2023,15:07:46.34375,69
27-Jun-2023,15:07:54.34375,69
27-Jun-2023,15:15:46.1875,69
27-Jun-2023,15:19:36.46875,69
27-Jun-2023,15:22:02.625,69
27-Jun-2023,15:33:42.5,68
27-Jun-2023,15:43:39.03125,68
27-Jun-2023,16:07:27.53125,68
27-Jun-2023,16:31:26.6875,68
27-Jun-2023,16:34:08.75,68
27-Jun-2023,16:37:01.78125,68
27-Jun-2023,16:38:26.8125,68
27-Jun-2023,16:49:53.3125,68
27-Jun-2023,16:55:03.59375,68
27-Jun-2023,17:04:16.03125,68
27-Jun-2023,17:08:29.28125,68
27-Jun-2023,17:14:16.5,68
27-Jun-2023,17:17:51.53125,68
27-Jun-2023,17:28:59.0625,67
27-Jun-2023,17:32:22.375,67
27-Jun-2023,17:38:31.03125,67
27-Jun-2023,18:04:51.34375,67
27-Jun-2023,18:07:03.46875,67
27-Jun-2023,18:21:59.71875,67
27-Jun-2023,18:42:38.03125,66
27-Jun-2023,18:51:56.625,66
27-Jun-2023,19:19:29.46875,66
27-Jun-2023,19:37:37.5625,65
27-Jun-2023,19:58:14.90625,65
27-Jun-2023,20:20:09.625,65
27-Jun-2023,20:33:11.46875,64
27-Jun-2023,20:34:18.46875,64
27-Jun-2023,20:34:22.46875,64
27-Jun-2023,20:36:16.625,64
27-Jun-2023,20:36:32.65625,64
27-Jun-2023,20:36:33.65625,64
27-Jun-2023,20:36:42.65625,64
27-Jun-2023,20:57:30.59375,64
27-Jun-2023,21:06:36.4375,64
27-Jun-2023,21:09:04.5,64
27-Jun-2023,21:19:47.15625,64
27-Jun-2023,21:46:25.71875,64
27-Jun-2023,22:01:28.59375,64
27-Jun-2023,22:13:07.375,64
