Date,Time,T1_BBH1
9-Jul-2023,14:26:45.1875,0.0
9-Jul-2023,14:26:47.1875,0.7
9-Jul-2023,15:56:59.25,0.9
9-Jul-2023,17:21:40.71875,0.7
9-Jul-2023,17:55:43.90625,0.7
9-Jul-2023,18:07:30.5,0.7
9-Jul-2023,18:07:54.59375,0.4
9-Jul-2023,18:09:40.78125,0.4
9-Jul-2023,18:09:58.78125,0.7
9-Jul-2023,18:22:10.78125,0.6
9-Jul-2023,18:43:07.90625,0.9
9-Jul-2023,18:56:51.84375,0.6
9-Jul-2023,18:59:31.84375,0.9
9-Jul-2023,19:22:33.125,0.7
9-Jul-2023,19:25:22.40625,0.1
9-Jul-2023,19:27:13.5,0.5
9-Jul-2023,19:27:51.625,0.7
9-Jul-2023,19:32:15.96875,0.4
9-Jul-2023,19:35:20.0625,0.4
9-Jul-2023,19:36:34.125,0.0
9-Jul-2023,19:39:05.3125,0.2
9-Jul-2023,19:40:51.46875,0.6
9-Jul-2023,19:43:18.6875,0.5
9-Jul-2023,19:48:48.03125,0.4
9-Jul-2023,19:48:57.03125,0.1
9-Jul-2023,19:49:37.0625,0.5
9-Jul-2023,20:01:49.59375,0.6
9-Jul-2023,20:01:54.625,0.0
9-Jul-2023,20:02:17.625,0.3
9-Jul-2023,20:04:06.625,0.7
9-Jul-2023,20:51:39.46875,0.6
9-Jul-2023,20:57:27.59375,0.7
9-Jul-2023,21:02:54.90625,0.5
9-Jul-2023,21:03:32,0.2
9-Jul-2023,21:04:22.03125,0.6
9-Jul-2023,21:06:31.21875,0.3
9-Jul-2023,21:08:28.34375,0.7
9-Jul-2023,21:13:11.8125,0.4
9-Jul-2023,21:14:15.84375,0.7
9-Jul-2023,21:19:33.34375,0.7
9-Jul-2023,21:21:51.65625,0.5
9-Jul-2023,21:22:21.6875,0.1
9-Jul-2023,21:23:49.71875,0.3
9-Jul-2023,21:25:22.78125,0.5
9-Jul-2023,21:25:59.8125,0.0
9-Jul-2023,21:27:11.8125,0.2
9-Jul-2023,21:28:06,0.6
9-Jul-2023,21:28:57,0.3
9-Jul-2023,21:29:20.03125,0.1
9-Jul-2023,21:30:28.0625,0.2
9-Jul-2023,21:31:24.125,0.6
9-Jul-2023,21:34:21.34375,0.3
9-Jul-2023,21:35:40.5,0.2
9-Jul-2023,21:37:02.625,0.2
9-Jul-2023,21:37:39.625,0.7
9-Jul-2023,21:38:42.71875,0.3
9-Jul-2023,21:38:50.71875,0.0
9-Jul-2023,21:45:22.15625,0.2
9-Jul-2023,21:45:55.1875,0.2
9-Jul-2023,21:47:11.25,0.2
9-Jul-2023,21:47:39.25,0.2
9-Jul-2023,21:47:40.25,0.0
10-Jul-2023,00:00:19.46875,0.0
10-Jul-2023,00:37:14.5,0.1
10-Jul-2023,00:37:49.53125,0.1
10-Jul-2023,00:40:01.65625,0.2
10-Jul-2023,00:40:06.65625,0.5
10-Jul-2023,00:41:42.71875,0.4
10-Jul-2023,00:41:46.71875,0.0
10-Jul-2023,00:43:08.84375,0.0
10-Jul-2023,00:43:40.96875,0.1
10-Jul-2023,00:45:21.09375,0.7
10-Jul-2023,00:53:21.84375,0.4
10-Jul-2023,00:56:35.25,0.7
10-Jul-2023,01:30:44.3125,0.8
10-Jul-2023,01:30:48.3125,0.0
10-Jul-2023,09:21:19.15625,0.0
10-Jul-2023,13:22:44.0625,0.0
10-Jul-2023,13:22:47.0625,0.8
10-Jul-2023,19:32:02.25,0.7
10-Jul-2023,19:40:39.875,0.6
10-Jul-2023,19:40:42.875,0.1
10-Jul-2023,19:42:31.25,0.4
10-Jul-2023,19:42:56.28125,0.7
10-Jul-2023,19:49:18.8125,0.5
10-Jul-2023,19:49:22.8125,0.2
10-Jul-2023,19:50:28.96875,0.6
10-Jul-2023,19:57:55.34375,0.5
10-Jul-2023,19:58:29.34375,0.3
10-Jul-2023,19:58:45.34375,0.2
10-Jul-2023,20:00:21.46875,0.7
10-Jul-2023,20:03:12.59375,0.4
10-Jul-2023,20:06:13.78125,0.7
10-Jul-2023,20:10:43.90625,0.5
10-Jul-2023,20:10:56.90625,0.2
10-Jul-2023,20:11:31.9375,0.3
10-Jul-2023,20:12:14.96875,0.7
10-Jul-2023,20:20:46.5625,0.5
10-Jul-2023,20:20:57.59375,0.2
10-Jul-2023,20:21:41.71875,0.2
10-Jul-2023,20:23:08.875,0.7
10-Jul-2023,20:32:30.5625,0.6
10-Jul-2023,20:34:31.75,0.5
10-Jul-2023,20:36:09.84375,0.3
10-Jul-2023,20:38:45.0625,0.5
10-Jul-2023,20:39:44.09375,0.4
10-Jul-2023,20:41:02.21875,0.4
10-Jul-2023,20:41:09.25,0.1
10-Jul-2023,20:41:13.25,0.5
10-Jul-2023,20:41:55.28125,0.4
10-Jul-2023,20:41:59.28125,0.0
10-Jul-2023,20:42:42.34375,0.3
10-Jul-2023,20:44:05.4375,0.3
10-Jul-2023,20:44:10.4375,0.0
10-Jul-2023,20:44:17.4375,0.4
10-Jul-2023,20:49:39.6875,0.3
10-Jul-2023,20:50:04.6875,0.1
10-Jul-2023,20:50:52.71875,0.1
10-Jul-2023,20:51:37.71875,0.3
10-Jul-2023,20:51:42.71875,0.6
10-Jul-2023,20:53:16.90625,0.2
10-Jul-2023,20:53:27.9375,0.2
10-Jul-2023,20:55:06.96875,0.1
10-Jul-2023,20:55:11,0.4
10-Jul-2023,20:55:57,0.2
10-Jul-2023,20:56:37.09375,0.2
10-Jul-2023,20:56:39.09375,0.0
10-Jul-2023,20:57:29.21875,0.2
10-Jul-2023,20:58:47.375,0.4
10-Jul-2023,20:58:49.375,0.1
10-Jul-2023,21:04:28.65625,0.2
10-Jul-2023,21:05:02.6875,0.2
10-Jul-2023,21:05:18.6875,0.5
10-Jul-2023,21:06:31.71875,0.1
10-Jul-2023,21:10:51.84375,0.2
10-Jul-2023,21:20:37.40625,0.1
10-Jul-2023,21:20:52.40625,0.1
11-Jul-2023,00:27:00.21875,0.1
11-Jul-2023,00:27:26.28125,0.5
11-Jul-2023,00:29:11.46875,0.2
11-Jul-2023,00:29:40.46875,0.1
11-Jul-2023,00:32:11.75,0.2
11-Jul-2023,00:32:54.75,0.0
11-Jul-2023,00:39:12.125,0.2
11-Jul-2023,00:39:18.125,0.4
11-Jul-2023,00:39:36.125,0.1
11-Jul-2023,00:42:19.28125,0.2
11-Jul-2023,00:45:46.46875,0.0
11-Jul-2023,00:46:35.46875,0.4
11-Jul-2023,00:49:08.65625,0.4
11-Jul-2023,00:50:53.75,0.3
11-Jul-2023,00:50:55.75,0.0
11-Jul-2023,00:52:14.78125,0.1
11-Jul-2023,00:52:50.84375,0.4
11-Jul-2023,00:56:07.15625,0.6
11-Jul-2023,01:00:05.34375,0.5
11-Jul-2023,01:01:14.40625,0.3
11-Jul-2023,01:09:36.9375,0.8
11-Jul-2023,01:18:11.5625,0.7
11-Jul-2023,04:03:12.46875,0.7
11-Jul-2023,04:03:17.46875,0.0
11-Jul-2023,11:53:45.71875,0.0
11-Jul-2023,13:57:16.90625,0.0
11-Jul-2023,13:57:20.90625,0.8
11-Jul-2023,16:07:29.28125,0.7
11-Jul-2023,16:20:05.125,0.5
11-Jul-2023,16:28:40.75,0.5
11-Jul-2023,16:29:57.8125,0.5
11-Jul-2023,16:32:20.9375,0.1
11-Jul-2023,16:32:29,0.4
11-Jul-2023,16:35:30.09375,0.2
11-Jul-2023,16:39:03.25,0.4
11-Jul-2023,16:40:50.375,0.1
11-Jul-2023,16:41:01.375,0.1
11-Jul-2023,16:44:56.65625,0.0
11-Jul-2023,16:45:33.6875,0.1
