Time,Value,Value Attributes
2-Mar-2024,00:36:58.53125,75.26
2-Mar-2024,00:15:49.65625,75.40
1-Mar-2024,16:19:20.71875,75.46
1-Mar-2024,08:19:36.59375,75.44
1-Mar-2024,00:21:29.8125,75.38
29-Feb-2024,16:30:32.84375,75.39
29-Feb-2024,08:35:19.1875,75.40
29-Feb-2024,08:35:06.15625,74.31
29-Feb-2024,08:34:50.15625,74.02
29-Feb-2024,08:34:33.125,72.70
29-Feb-2024,08:32:54.0625,72.55
29-Feb-2024,08:32:44.0625,71.86
29-Feb-2024,08:32:32.0625,70.59
29-Feb-2024,08:17:29.3125,70.63
29-Feb-2024,08:09:59.9375,70.52
29-Feb-2024,07:57:39.25,70.51
29-Feb-2024,07:57:27.25,70.42
29-Feb-2024,07:50:06.75,70.59
29-Feb-2024,07:47:05.71875,70.59
29-Feb-2024,07:43:05.5625,70.55
29-Feb-2024,07:40:09.5625,70.62
29-Feb-2024,07:34:58.46875,70.54
29-Feb-2024,07:32:25.21875,70.56
29-Feb-2024,07:21:43.65625,70.55
29-Feb-2024,06:56:59.3125,70.45
29-Feb-2024,06:52:23.09375,70.54
29-Feb-2024,06:49:59.0625,70.57
29-Feb-2024,06:37:51.625,70.46
29-Feb-2024,06:34:41.46875,70.55
29-Feb-2024,06:17:36.78125,70.48
29-Feb-2024,06:16:28.78125,70.51
29-Feb-2024,06:02:58.40625,70.45
29-Feb-2024,05:54:58.125,70.51
29-Feb-2024,05:53:41.09375,70.62
29-Feb-2024,05:47:59.875,70.49
29-Feb-2024,05:34:15.5,70.49
29-Feb-2024,05:14:00.90625,70.55
29-Feb-2024,05:07:41.78125,70.52
29-Feb-2024,05:06:05.78125,70.47
29-Feb-2024,05:00:14.71875,70.47
29-Feb-2024,04:43:54.46875,70.44
29-Feb-2024,04:43:25.4375,70.44
29-Feb-2024,04:38:52.3125,70.44
29-Feb-2024,04:32:00.21875,70.52
29-Feb-2024,04:28:13.125,70.58
29-Feb-2024,04:16:34.9375,70.56
29-Feb-2024,03:58:42.53125,70.55
29-Feb-2024,03:39:31.125,70.62
29-Feb-2024,03:26:53.9375,70.43
29-Feb-2024,03:16:59.71875,70.46
29-Feb-2024,02:18:52.6875,70.56
29-Feb-2024,02:18:47.6875,71.07
29-Feb-2024,02:18:16.6875,71.22
29-Feb-2024,02:18:03.6875,72.25
29-Feb-2024,02:11:16.5,72.29
29-Feb-2024,02:11:02.5,73.16
29-Feb-2024,02:04:46.96875,73.22
29-Feb-2024,02:04:28.96875,71.71
29-Feb-2024,02:01:21.84375,71.57
29-Feb-2024,02:01:19.8125,71.92
29-Feb-2024,02:01:07.78125,72.05
29-Feb-2024,02:01:01.78125,72.45
29-Feb-2024,02:00:56.78125,73.02
29-Feb-2024,02:00:19.78125,73.29
29-Feb-2024,02:00:01.78125,74.72
29-Feb-2024,01:57:14.65625,75.08
29-Feb-2024,01:56:38.625,75.43
29-Feb-2024,01:56:25.625,75.80
29-Feb-2024,01:56:17.625,76.35
29-Feb-2024,01:01:34.03125,76.42
28-Feb-2024,17:03:04.3125,76.41
28-Feb-2024,09:03:17.0625,76.43
28-Feb-2024,09:01:42,76.51
28-Feb-2024,09:00:53.90625,76.25
28-Feb-2024,09:00:46.90625,76.45
28-Feb-2024,09:00:39.90625,76.47
28-Feb-2024,08:54:31.75,76.48
28-Feb-2024,07:40:19.9375,76.43
28-Feb-2024,07:39:20.875,76.35
28-Feb-2024,07:21:58.3125,76.41
28-Feb-2024,07:21:45.28125,76.60
28-Feb-2024,07:21:29.25,76.20
28-Feb-2024,07:21:25.25,76.59
28-Feb-2024,07:20:43.25,76.31
28-Feb-2024,07:20:36.25,76.51
28-Feb-2024,07:20:20.21875,76.51
28-Feb-2024,00:39:20,76.45
27-Feb-2024,16:44:11.90625,76.40
27-Feb-2024,08:48:12.21875,76.43
27-Feb-2024,00:49:53.40625,76.40
26-Feb-2024,16:55:03.90625,76.43
26-Feb-2024,09:03:49.125,76.43
26-Feb-2024,01:10:09.28125,76.40
25-Feb-2024,17:11:05.625,76.40
25-Feb-2024,09:14:45.4375,76.48
25-Feb-2024,01:17:08.59375,76.41
24-Feb-2024,17:18:46.125,76.40
24-Feb-2024,09:26:16.90625,76.43
24-Feb-2024,01:29:33.5,76.40
23-Feb-2024,17:36:29.375,76.38
23-Feb-2024,09:38:25.75,76.46
23-Feb-2024,01:40:20.9375,76.40
22-Feb-2024,17:44:40.15625,76.41
22-Feb-2024,09:45:51.375,76.46
22-Feb-2024,09:45:46.375,77.04
