Time,Value,Value Attributes
30-Mar-2024,04:56:54.21875,24
30-Mar-2024,04:56:52.21875,24
30-Mar-2024,04:56:51.21875,24
30-Mar-2024,04:56:48.21875,24
30-Mar-2024,04:56:47.21875,24
30-Mar-2024,04:56:45.21875,24
30-Mar-2024,04:56:44.21875,24
30-Mar-2024,04:56:42.21875,24
30-Mar-2024,04:56:39.21875,24
30-Mar-2024,04:56:38.21875,24
30-Mar-2024,04:56:36.21875,24
30-Mar-2024,04:56:19.21875,24
30-Mar-2024,04:56:14.21875,24
30-Mar-2024,04:56:13.21875,24
30-Mar-2024,04:56:11.21875,24
30-Mar-2024,04:56:10.21875,24
30-Mar-2024,04:56:09.21875,24
30-Mar-2024,04:56:00.21875,24
30-Mar-2024,04:55:56.21875,24
30-Mar-2024,04:55:55.21875,24
30-Mar-2024,04:55:54.21875,24
30-Mar-2024,04:55:51.21875,24
30-Mar-2024,04:55:50.21875,24
30-Mar-2024,04:55:47.21875,24
30-Mar-2024,04:55:44.21875,24
30-Mar-2024,04:55:43.21875,24
30-Mar-2024,04:55:35.21875,24
30-Mar-2024,04:55:33.21875,24
30-Mar-2024,04:55:32.21875,24
30-Mar-2024,04:55:30.21875,24
30-Mar-2024,04:55:29.21875,24
30-Mar-2024,04:55:23.21875,24
30-Mar-2024,04:55:18.21875,24
30-Mar-2024,04:55:16.21875,24
30-Mar-2024,04:55:14.21875,24
30-Mar-2024,04:55:06.21875,24
30-Mar-2024,04:55:05.21875,24
30-Mar-2024,04:55:03.21875,24
30-Mar-2024,04:54:51.21875,24
30-Mar-2024,04:54:50.21875,24
30-Mar-2024,04:54:46.21875,24
30-Mar-2024,04:54:45.21875,24
30-Mar-2024,04:54:42.21875,24
30-Mar-2024,04:54:40.21875,24
30-Mar-2024,04:54:38.21875,24
30-Mar-2024,04:54:36.21875,24
30-Mar-2024,04:54:34.21875,24
30-Mar-2024,04:54:31.21875,24
30-Mar-2024,04:54:28.21875,24
30-Mar-2024,04:54:17.21875,24
30-Mar-2024,04:54:13.21875,24
30-Mar-2024,04:54:06.1875,24
30-Mar-2024,04:54:04.1875,24
30-Mar-2024,04:54:02.1875,24
30-Mar-2024,04:53:57.15625,24
30-Mar-2024,04:53:56.15625,24
30-Mar-2024,04:53:55.15625,24
30-Mar-2024,04:53:52.15625,24
30-Mar-2024,04:53:45.15625,24
30-Mar-2024,04:53:43.15625,24
30-Mar-2024,04:53:39.15625,24
30-Mar-2024,04:53:38.15625,24
30-Mar-2024,04:53:36.15625,24
30-Mar-2024,04:53:34.15625,24
30-Mar-2024,04:53:32.15625,24
30-Mar-2024,04:53:29.15625,24
30-Mar-2024,04:53:04.09375,24
30-Mar-2024,04:52:55.09375,24
30-Mar-2024,04:52:29.0625,24
30-Mar-2024,04:52:28.0625,24
30-Mar-2024,04:52:22.0625,24
30-Mar-2024,04:52:21.0625,24
30-Mar-2024,04:52:19.0625,24
30-Mar-2024,04:52:14.0625,24
30-Mar-2024,04:52:12.0625,24
30-Mar-2024,04:52:10.0625,24
30-Mar-2024,04:52:07.0625,24
30-Mar-2024,04:51:57.0625,24
30-Mar-2024,04:51:56.0625,24
30-Mar-2024,04:51:55.0625,24
30-Mar-2024,04:51:50.0625,24
30-Mar-2024,04:51:49.0625,24
30-Mar-2024,04:51:47.0625,24
30-Mar-2024,04:51:41.03125,24
30-Mar-2024,04:51:40.03125,24
30-Mar-2024,04:51:39.03125,24
30-Mar-2024,04:51:37.03125,24
30-Mar-2024,04:51:30.03125,24
30-Mar-2024,04:51:28.03125,24
30-Mar-2024,04:51:27.03125,24
30-Mar-2024,04:50:50,24
30-Mar-2024,04:50:47,24
30-Mar-2024,04:50:43,24
30-Mar-2024,04:50:21,24
30-Mar-2024,04:50:05,24
30-Mar-2024,04:49:58,24
30-Mar-2024,04:49:56,24
30-Mar-2024,04:49:55,24
30-Mar-2024,04:49:47,24
30-Mar-2024,04:49:46,24
30-Mar-2024,04:49:45,24
30-Mar-2024,04:49:29,24
30-Mar-2024,04:49:16,24
30-Mar-2024,04:49:15,24
30-Mar-2024,04:49:13,24
30-Mar-2024,04:49:10,24
30-Mar-2024,04:49:09,24
30-Mar-2024,04:49:08,24
30-Mar-2024,04:48:33.9375,24
30-Mar-2024,04:48:32.9375,24
30-Mar-2024,04:48:31.9375,24
30-Mar-2024,04:48:25.9375,24
30-Mar-2024,04:48:10.9375,24
30-Mar-2024,04:48:00.9375,24
30-Mar-2024,04:47:59.9375,24
30-Mar-2024,04:47:57.9375,24
30-Mar-2024,04:47:54.9375,24
30-Mar-2024,04:47:38.9375,24
30-Mar-2024,04:47:32.9375,24
30-Mar-2024,04:47:31.9375,24
30-Mar-2024,04:47:18.90625,24
30-Mar-2024,04:47:14.90625,24
30-Mar-2024,04:47:13.90625,24
30-Mar-2024,04:47:08.90625,24
30-Mar-2024,04:46:57.90625,24
30-Mar-2024,04:46:55.90625,24
30-Mar-2024,04:46:36.84375,24
30-Mar-2024,04:46:28.84375,24
30-Mar-2024,04:46:27.84375,24
30-Mar-2024,04:46:19.84375,24
30-Mar-2024,04:46:14.84375,24
30-Mar-2024,04:46:10.84375,24
30-Mar-2024,04:46:08.84375,24
30-Mar-2024,04:46:04.84375,24
30-Mar-2024,04:45:47.8125,24
30-Mar-2024,04:45:46.8125,24
30-Mar-2024,04:45:44.8125,24
30-Mar-2024,04:45:42.8125,24
30-Mar-2024,04:45:25.78125,24
30-Mar-2024,04:45:24.78125,24
30-Mar-2024,04:45:19.75,24
30-Mar-2024,04:45:15.75,24
30-Mar-2024,04:45:07.75,24
30-Mar-2024,04:45:06.75,24
30-Mar-2024,04:45:05.75,24
30-Mar-2024,04:45:01.75,24
30-Mar-2024,04:44:59.75,24
30-Mar-2024,04:44:43.75,24
30-Mar-2024,04:44:41.75,24
30-Mar-2024,04:44:40.75,24
30-Mar-2024,04:44:36.71875,24
30-Mar-2024,04:44:34.71875,24
30-Mar-2024,04:44:21.71875,24
30-Mar-2024,04:44:13.71875,24
30-Mar-2024,04:44:10.71875,24
30-Mar-2024,04:44:05.71875,24
30-Mar-2024,04:44:02.71875,24
30-Mar-2024,04:44:01.71875,24
30-Mar-2024,04:44:00.6875,24
30-Mar-2024,04:43:55.6875,24
30-Mar-2024,04:43:54.6875,24
30-Mar-2024,04:43:48.6875,24
30-Mar-2024,04:43:45.6875,24
30-Mar-2024,04:43:44.6875,24
30-Mar-2024,04:43:43.6875,24
30-Mar-2024,04:43:31.6875,24
30-Mar-2024,04:43:30.6875,24
30-Mar-2024,04:43:27.6875,24
30-Mar-2024,04:43:23.6875,24
30-Mar-2024,04:43:08.65625,24
30-Mar-2024,04:42:44.59375,24
30-Mar-2024,04:42:40.59375,24
30-Mar-2024,04:42:38.59375,24
30-Mar-2024,04:42:31.59375,24
30-Mar-2024,04:42:29.59375,24
30-Mar-2024,04:42:26.59375,24
30-Mar-2024,04:42:21.59375,24
30-Mar-2024,04:42:20.59375,24
30-Mar-2024,04:42:09.53125,24
30-Mar-2024,04:42:08.53125,24
30-Mar-2024,04:42:06.53125,24
30-Mar-2024,04:42:03.53125,24
30-Mar-2024,04:42:02.53125,24
30-Mar-2024,04:41:53.53125,24
30-Mar-2024,04:41:45.53125,24
30-Mar-2024,04:41:37.53125,24
30-Mar-2024,04:41:34.53125,24
30-Mar-2024,04:41:30.53125,24
30-Mar-2024,04:41:27.53125,24
30-Mar-2024,04:41:18.5,24
30-Mar-2024,04:41:15.5,24
30-Mar-2024,04:41:13.5,24
30-Mar-2024,04:41:05.46875,24
30-Mar-2024,04:41:04.46875,24
30-Mar-2024,04:40:54.4375,24
30-Mar-2024,04:40:53.4375,24
30-Mar-2024,04:40:52.4375,24
30-Mar-2024,04:40:45.4375,24
30-Mar-2024,04:40:44.4375,24
30-Mar-2024,04:40:36.4375,24
30-Mar-2024,04:40:34.4375,24
30-Mar-2024,04:40:33.4375,24
30-Mar-2024,04:40:27.40625,24
30-Mar-2024,04:40:26.40625,24
30-Mar-2024,04:40:23.40625,24
30-Mar-2024,04:40:17.40625,24
30-Mar-2024,04:40:14.40625,24
30-Mar-2024,04:40:03.40625,24
30-Mar-2024,04:40:02.40625,24
30-Mar-2024,04:40:01.40625,24
30-Mar-2024,04:39:55.40625,24
30-Mar-2024,04:39:54.40625,24
30-Mar-2024,04:39:53.40625,24
30-Mar-2024,04:39:22.40625,24
30-Mar-2024,04:39:21.40625,24
30-Mar-2024,04:39:14.40625,24
30-Mar-2024,04:39:10.375,24
30-Mar-2024,04:39:08.375,24
30-Mar-2024,04:39:07.375,24
30-Mar-2024,04:38:53.375,24
30-Mar-2024,04:38:46.375,24
30-Mar-2024,04:38:45.375,23
30-Mar-2024,04:38:44.375,24
30-Mar-2024,04:38:40.375,24
30-Mar-2024,04:38:31.3125,24
30-Mar-2024,04:38:27.3125,24
30-Mar-2024,04:38:20.3125,24
30-Mar-2024,04:37:53.3125,24
30-Mar-2024,04:37:50.3125,24
30-Mar-2024,04:37:49.3125,24
30-Mar-2024,04:37:37.3125,24
30-Mar-2024,04:37:36.3125,24
30-Mar-2024,04:37:35.3125,24
30-Mar-2024,04:37:24.3125,24
30-Mar-2024,04:37:21.3125,24
30-Mar-2024,04:37:08.3125,24
30-Mar-2024,04:36:31.28125,24
30-Mar-2024,04:36:29.28125,24
30-Mar-2024,04:36:27.28125,24
30-Mar-2024,04:36:11.28125,24
30-Mar-2024,04:36:10.28125,24
30-Mar-2024,04:36:07.28125,24
30-Mar-2024,04:35:47.28125,24
30-Mar-2024,04:35:34.28125,24
30-Mar-2024,04:35:32.25,24
30-Mar-2024,04:35:31.25,24
30-Mar-2024,04:35:22.25,24
30-Mar-2024,04:35:21.25,24
30-Mar-2024,04:34:58.25,24
30-Mar-2024,04:34:56.25,24
30-Mar-2024,04:34:52.25,23
30-Mar-2024,04:34:51.25,24
30-Mar-2024,04:34:50.25,24
30-Mar-2024,04:34:38.25,24
30-Mar-2024,04:34:37.25,24
30-Mar-2024,04:34:35.25,24
30-Mar-2024,04:34:26.25,24
30-Mar-2024,04:34:25.25,24
30-Mar-2024,04:34:23.25,24
30-Mar-2024,04:34:10.25,24
30-Mar-2024,04:34:09.25,23
30-Mar-2024,04:34:07.25,24
30-Mar-2024,04:33:50.25,24
30-Mar-2024,04:33:47.25,24
30-Mar-2024,04:33:46.25,24
30-Mar-2024,04:33:33.25,24
30-Mar-2024,04:33:26.25,24
30-Mar-2024,04:33:25.25,24
30-Mar-2024,04:33:23.25,24
30-Mar-2024,04:33:21.25,24
30-Mar-2024,04:33:11.21875,24
30-Mar-2024,04:33:09.21875,24
30-Mar-2024,04:33:08.21875,24
30-Mar-2024,04:33:06.21875,24
30-Mar-2024,04:33:04.21875,24
30-Mar-2024,04:32:51.21875,24
30-Mar-2024,04:32:47.15625,24
30-Mar-2024,04:32:46.15625,24
30-Mar-2024,04:32:38.15625,24
30-Mar-2024,04:32:37.15625,24
30-Mar-2024,04:32:32.15625,24
30-Mar-2024,04:32:31.15625,23
30-Mar-2024,04:32:30.15625,24
30-Mar-2024,04:32:29.15625,24
30-Mar-2024,04:32:28.15625,24
30-Mar-2024,04:32:23.15625,24
30-Mar-2024,04:32:22.15625,24
30-Mar-2024,04:32:19.15625,24
30-Mar-2024,04:32:17.15625,24
30-Mar-2024,04:32:16.15625,24
30-Mar-2024,04:32:10.15625,24
